model,dev_fold,test_fold,epochs,dev_r2_mean,test_r2_mean,dev_rmse_mean,test_rmse_mean
mobile,4,2,32,-0.48343859375,-0.92539034375,4.79808028125,5.7054056875
mobile,4,3,32,-0.5481819375,-1.230893625,4.88457328125,5.12723940625
mobile,4,5,32,-0.53890146875,-0.59416503125,4.88717121875,5.1398593437499995
mobile,4,6,32,-0.4973245,-0.68431921875,4.74399225,5.61990190625
mobile,4,7,32,-0.8707220625,-1.378407375,5.39936103125,4.98486021875
mobile,4,8,32,-0.67370459375,-0.8888663125,4.9850826875,4.9845061875
mobile,4,9,32,-0.51459565625,-2.79093946875,4.76837446875,8.08788478125
mobile,5,0,32,-0.52174140625,-1.6912461875,4.9894654375,7.3710515625
mobile,5,1,32,-0.67331621875,-0.47390928125,5.42466721875,4.1014083125
mobile,5,2,32,-0.7502296875,-0.91885540625,5.611855,5.653178375
mobile,5,3,32,-0.730492625,-1.46292578125,5.42063946875,5.42775525
mobile,5,4,32,-0.74809209375,-0.724857875,5.53957653125,5.193754875
mobile,5,6,32,-0.70826078125,-0.9994315625,5.46510090625,6.16956859375
mobile,5,7,32,-0.68463621875,-0.92216684375,5.4161165625,4.433594125
mobile,5,8,32,-0.76055565625,-0.9387041875,5.57950484375,5.12781325
mobile,5,9,32,-0.58683115625,-2.422175125,5.2890545625,7.7086866875
mobile,6,0,32,-0.84275671875,-1.9449707812500001,5.84261946875,7.78009640625
mobile,6,1,32,-0.52596290625,-0.19584003125000002,5.3098005937499995,3.6418701875
mobile,6,2,32,-0.96918,-1.27748875,6.098898625,6.22676003125
mobile,6,3,32,-1.30019959375,-2.0412746875,6.553141625,6.15772253125
mobile,6,4,32,-0.93960634375,-0.5065933125,6.06395809375,4.75937971875
mobile,6,5,32,-0.86508465625,-0.80766365625,5.90601178125,5.6394761875
mobile,6,7,32,-0.940537625,-1.200439,5.88275515625,4.7708794375
mobile,6,8,32,-0.88650828125,-0.83028534375,5.97646653125,4.94192828125
mobile,6,9,32,-0.79379778125,-2.5390280625,5.77228384375,7.86675384375
mobile,7,0,32,-1.17220884375,-1.64270940625,4.75489309375,7.37972134375
mobile,7,1,32,-1.49355496875,-0.97703953125,5.0800178124999995,4.72284
mobile,7,2,32,-0.92683915625,-0.90729503125,4.454989,5.66543959375
mobile,7,3,32,-1.1883100625,-1.90438921875,4.78168796875,5.86208284375
mobile,7,4,32,-0.9447696250000001,-0.5044375624999999,4.50652396875,4.8093006875
mobile,7,5,32,-1.01887090625,-0.43841228125,4.59551778125,4.94164628125
mobile,7,6,32,-0.90017021875,-0.83337940625,4.39685453125,5.7220158125
mobile,7,8,32,-1.07373303125,-0.7887354062499999,4.60219440625,4.8321778125
mobile,7,9,32,-1.06650690625,-2.63315403125,4.6493669375,7.97430765625
mobile,8,0,32,-1.76885190625,-3.0400525312499997,6.186087375,9.20496909375
mobile,8,1,32,-1.6845705625,-1.030466375,6.09980778125,4.91981665625
mobile,8,2,32,-0.7137825624999999,-0.884439625,4.78608853125,5.58826703125
mobile,8,3,32,-0.8412668125,-1.62593621875,4.9755785,5.69787578125
mobile,8,4,32,-0.7879996875,-0.42640140625,4.869552625,4.59462834375
mobile,8,5,32,-0.745119,-0.78474565625,4.8302398125,5.6193461875
mobile,8,6,32,-1.3808921875,-1.24730459375,5.69314578125,6.5726397500000004
mobile,8,7,32,-0.7871019375,-0.87711246875,4.89912634375,4.4731726875
mobile,8,9,32,-0.84667153125,-2.88986134375,5.02013109375,8.24672365625
mobile,9,0,32,-2.7985633125,-1.9859649375,8.2074838125,7.80435575
mobile,9,1,32,-2.9715975,-0.49546809375,8.28168871875,4.064756125
mobile,9,2,32,-2.4918083437500003,-0.84162275,7.7752606562499995,5.51451165625
mobile,9,3,32,-2.5846066875,-1.4773005625,7.92010271875,5.48035159375
mobile,9,4,32,-2.126113,-0.48395859375,7.2654121875,4.76631640625
mobile,9,5,32,-2.080697375,-0.509592625,7.2782805,5.14755859375
mobile,9,6,32,-2.2906855624999998,-0.7097045,7.4835508125,5.5514745625
mobile,9,7,32,-2.05480596875,-0.62700384375,7.2492434687500005,4.07616828125
mobile,9,8,32,-2.921582375,-0.96621146875,8.33444840625,5.1212865
resnet,0,1,32,-0.74027921875,0.09869371874999999,6.086193875,3.283744375
resnet,0,2,32,-0.66666690625,-0.028467250000000006,5.92988946875,4.20301703125
resnet,0,3,32,-0.89096940625,-0.74703034375,6.27289584375,4.76238703125
resnet,0,4,32,-0.6117378124999999,-0.03574425,5.8711714375,4.07464578125
resnet,0,5,32,-0.7564868124999999,-0.32943453125,5.970296625,4.9423170625
resnet,0,6,32,-0.789814125,-0.06808409375,6.09840103125,4.647073625
resnet,0,7,32,-0.751683875,-1.19979878125,6.0560649062500005,4.78094859375
resnet,0,8,32,-0.89158134375,-0.27623478125,6.3321816875,4.2265071875
resnet,0,9,32,-0.85771009375,-1.53279465625,6.24916775,6.7724014375
resnet,1,0,32,0.046144125,-0.65016965625,3.385995625,5.791101125
resnet,1,2,32,-0.3301328125,-0.11349834375,3.98836565625,4.33235184375
resnet,1,3,32,-0.2317203125,-0.75972571875,3.8754128125,4.80077121875
resnet,1,4,32,-0.2500956875,-0.20349503125,3.86745596875,4.40573765625
resnet,1,5,32,-0.31123765625,-0.3322100625,4.04433459375,4.92702809375
resnet,1,6,32,-0.110473375,-0.22006315625,3.68978790625,4.89887946875
resnet,1,7,32,-0.278116,-1.32866903125,3.92010721875,4.97290634375
resnet,1,8,32,-0.2794435,-0.17631725,3.9134103125,4.04224975
resnet,1,9,32,-0.20177375,-1.32895225,3.7672965,6.36421190625
resnet,2,0,32,-0.097143125,-0.9794030625,4.2923133125,6.4453478749999995
resnet,2,1,32,-0.16103634375,-0.2413864375,4.46317215625,3.8771998125000002
resnet,2,3,32,-0.004759937499999992,-0.49236565625,4.15901428125,4.29115596875
resnet,2,4,32,-0.05940824999999999,-0.249469,4.26917925,4.43831625
resnet,2,5,32,-0.18042003125,-0.33962515625,4.53228609375,5.027822875
resnet,2,6,32,-0.144328,-0.2742788125,4.43029178125,4.92948365625
resnet,2,7,32,-0.05761403125000001,-1.1769748125,4.21285140625,4.76891028125
resnet,2,8,32,-0.2668510625,-0.19197584374999999,4.66118209375,4.07332296875
resnet,2,9,32,-0.1814931875,-1.7563120625,4.4964432500000004,6.90422134375
resnet,3,0,32,-0.6531446875,-0.6571145625,4.6057992500000005,5.97850396875
resnet,3,1,32,-0.74012090625,-0.32554590625,4.62764575,3.93004090625
resnet,3,2,32,-0.60392371875,-0.06952765625,4.464469125,4.24487890625
resnet,3,4,32,-0.55481003125,-0.313512,4.42999321875,4.58318609375
resnet,3,5,32,-0.6182901875,-0.36496503125,4.5323975625,5.02497303125
resnet,3,6,32,-0.7262325625,-0.1967684375,4.68082390625,4.82633959375
resnet,3,7,32,-0.369802625,-0.93869053125,4.1650434687499995,4.5676575625
resnet,3,8,32,-0.7155219687500001,-0.2675311875,4.66422184375,4.22194575
resnet,3,9,32,-0.8286579375,-1.78627815625,4.85536515625,7.0300318125
resnet,4,0,32,-0.27608003125,-0.71933765625,4.4912884375,6.0198149687499996
resnet,4,1,32,-0.3167296875,-0.28046546875,4.57275921875,3.9301845625
resnet,4,2,32,-0.2438503125,-0.1188813125,4.47483325,4.467433875
resnet,4,3,32,-0.23029390625,-0.70853540625,4.43370709375,4.6597630625
resnet,4,5,32,-0.15838746874999998,-0.19988634375,4.296419375,4.7490045
resnet,4,6,32,-0.2462725625,-0.18870675,4.468125,4.962566125
resnet,4,7,32,-0.14740671875,-1.09528903125,4.2945110625,4.7442968125
resnet,4,8,32,-0.30132809375,-0.268962125,4.569381125,4.241921
resnet,4,9,32,-0.09686359375,-1.5269845625,4.17310128125,6.6728140625
resnet,5,0,32,-0.35955175,-0.70949453125,4.97694509375,5.98605078125
resnet,5,1,32,-0.35003828124999997,-0.53775825,4.9629365625,4.317282625
resnet,5,2,32,-0.28865503125,-0.026331375,4.9507773125,4.22885925
resnet,5,3,32,-0.24936450000000002,-0.65197003125,4.7952959375,4.52637084375
resnet,5,4,32,-0.23241984375,-0.12045928125,4.80132540625,4.20259696875
resnet,5,6,32,-0.3443441875,-0.22766371875,5.01757659375,4.97623315625
resnet,5,7,32,-0.1303166875,-0.958589875,4.518133375,4.587276125
resnet,5,8,32,-0.46523578125,-0.200788375,5.1959406249999995,4.09134115625
resnet,5,9,32,-0.1551338125,-1.56091734375,4.57316728125,6.75866725
resnet,6,0,32,-0.060543312499999995,-0.86993103125,4.53408478125,6.20652859375
resnet,6,1,32,-0.017363406250000005,-0.34888103125,4.48056640625,4.026166625
resnet,6,2,32,-0.31667103125,-0.183834,5.0524675,4.53931915625
resnet,6,3,32,-0.2079285625,-0.70820121875,4.8634883125,4.651731625
resnet,6,4,32,-0.16842390625,-0.2712413125,4.88088121875,4.5088713125
resnet,6,5,32,-0.160652875,-0.32623206250000003,4.8001119375,4.95727790625
resnet,6,7,32,-0.300303375,-1.454725125,5.04294365625,5.155136625
resnet,6,8,32,-0.30564496875,-0.079820375,5.1150316875,3.89537565625
resnet,6,9,32,-0.13869478125,-1.663352375,4.6814811875,6.92179065625
resnet,7,0,32,-0.95793384375,-0.72519559375,4.57514771875,6.0601236875
resnet,7,1,32,-0.8798064375,-0.246066,4.4901905625,3.8256249375
resnet,7,2,32,-0.98315978125,0.08076459375,4.601504375,3.97170465625
resnet,7,3,32,-0.7997593749999999,-0.452659875,4.406408375,4.33270153125
resnet,7,4,32,-0.83382625,-0.38962134375,4.4300141250000005,4.67939878125
resnet,7,5,32,-0.97209365625,0.08341234374999999,4.56403628125,3.99524734375
resnet,7,6,32,-1.20906228125,-0.30034328125,4.87836621875,4.9080699375
resnet,7,8,32,-1.01907965625,0.027678687500000004,4.6579189375,3.6629865625
resnet,7,9,32,-0.81582965625,-1.28440709375,4.41161375,6.32558959375
resnet,8,0,32,-0.31613303125000003,-0.8466775625,4.30011471875,6.2824296875
resnet,8,1,32,-0.149537125,-0.29444121875,4.006088,3.9330855000000002
resnet,8,2,32,-0.2015453125,-0.08287315625,4.06632253125,4.32290253125
resnet,8,3,32,-0.33510084375,-0.8495075937500001,4.30076678125,4.8493848125
resnet,8,4,32,-0.324290375,-0.50587553125,4.26697159375,4.897642875
resnet,8,5,32,-0.22944865625,-0.337362375,4.151097625,4.931565
resnet,8,6,32,-0.08764015625,-0.28303265625,3.8947650625,5.0125703125
resnet,8,7,32,-0.04118387499999999,-0.8959685625,3.77105334375,4.4884168125
resnet,8,9,32,-0.05680640625000001,-1.704179625,3.81312434375,6.94943334375
resnet,9,0,32,-1.7072890625,-0.81141575,6.9447793437500005,6.19196125
resnet,9,1,32,-1.34169925,-0.166584125,6.41708896875,3.77056609375
resnet,9,2,32,-1.91092815625,-0.19343409375,7.1943006875,4.49492259375
resnet,9,3,32,-1.84538865625,-0.61205865625,7.15712140625,4.6101760625
resnet,9,4,32,-1.5448080625,-0.17300521875,6.6974148125,4.3183155625000005
resnet,9,5,32,-1.5575656875,-0.11122725,6.80914028125,4.51185303125
resnet,9,6,32,-1.484865625,-0.17865571875,6.63074428125,4.916382875
resnet,9,7,32,-1.554873875,-0.767973,6.718681625,4.3307168125
resnet,9,8,32,-1.63995603125,-0.10476859375,6.8942765,3.904915875
squeeze,0,1,32,-0.60347309375,0.14834962499999998,5.8591310625,3.24503428125
squeeze,0,2,32,-0.6564541875,0.033318562499999996,5.93461525,4.139091
squeeze,0,3,32,-0.67601765625,0.034634124999999995,5.94542165625,3.5844169375
squeeze,0,4,32,-0.47794184375,-0.1359908125,5.63562528125,4.26754590625
squeeze,0,5,32,-0.625791875,0.05669478125,5.89992175,4.22421521875
squeeze,0,6,32,-0.617287375,0.016745906249999998,5.95660334375,4.4891644375
squeeze,0,7,32,-0.59602340625,-0.78114221875,5.83354465625,4.39587265625
squeeze,0,8,32,-0.643811125,-0.022930281249999997,5.87230690625,3.75956271875
squeeze,0,9,32,-0.7861154375,-1.110717125,6.16285103125,6.17650403125
squeeze,1,0,32,0.04538921875,-0.5623391875,3.4569947500000002,5.83162534375
squeeze,1,2,32,-0.07340315624999999,0.08261446875,3.600083875,4.04453584375
squeeze,1,3,32,-0.0041041875,0.0745123125,3.4936578125,3.47967375
squeeze,1,4,32,-0.2408396875,-0.30871796875,3.88330565625,4.5815438437500005
squeeze,1,5,32,-0.25315584375,-0.09933753125,3.934041875,4.50035071875
squeeze,1,6,32,-0.21926903125,0.0609180625,3.81367634375,4.32249009375
squeeze,1,7,32,-0.18665746875,-0.8535668750000001,3.82082528125,4.4907465
squeeze,1,8,32,-0.0711969375,0.019447968750000003,3.66777821875,3.747995625
squeeze,1,9,32,0.044845156250000004,-0.81962653125,3.44305753125,5.750196375
squeeze,2,0,32,0.01927775,-0.6759180625,4.1552915,6.02192378125
squeeze,2,1,32,0.02465690625,-0.13647575,4.13728275,3.75789209375
squeeze,2,3,32,0.1167534375,0.10419203125,3.9619935625,3.43153815625
squeeze,2,4,32,-0.0013780937500000004,-0.2127230625,4.193900625,4.41360246875
squeeze,2,5,32,0.0266283125,-0.027352374999999998,4.12460159375,4.3486955
squeeze,2,6,32,-0.0120505625,0.0344818125,4.2367756875,4.341763875
squeeze,2,7,32,0.0536184375,-0.96127215625,4.08283190625,4.6292476875
squeeze,2,8,32,0.021022968750000003,-0.0936658125,4.1210496875,3.90107375
squeeze,2,9,32,-0.04849075,-1.0992600625,4.3332608125,6.13497246875
squeeze,3,0,32,-0.07740078125,-0.661434375,3.71162675,5.92246321875
squeeze,3,1,32,0.07188325,-0.13034365625,3.4845849375,3.709590125
squeeze,3,2,32,-0.01691146875,0.0949124375,3.6347626875,3.99858809375
squeeze,3,4,32,0.05932328125,-0.2607685625,3.50894296875,4.49347903125
squeeze,3,5,32,0.0775350625,-0.07244996875,3.4827058125,4.42374853125
squeeze,3,6,32,-0.01856525,-0.0010531875000000012,3.66298596875,4.41200803125
squeeze,3,7,32,0.03626421875,-0.83910703125,3.57991290625,4.46663421875
squeeze,3,8,32,0.0074341875000000016,-0.0099649375,3.591041625,3.79183603125
squeeze,3,9,32,-0.01143290625,-0.90781771875,3.691136875,5.84789234375
squeeze,4,0,32,-0.17202603125,-0.47252334375,4.3182781875,5.60777834375
squeeze,4,1,32,-0.31020909375,-0.1930010625,4.61463946875,3.78373353125
squeeze,4,2,32,-0.1462149375,0.0334313125,4.3333676875,4.1211815000000005
squeeze,4,3,32,-0.25811815625,0.07762303125,4.46134634375,3.44419728125
squeeze,4,5,32,-0.44005515625,-0.1254013125,4.79793175,4.5715905625
squeeze,4,6,32,-0.2766385,0.002693343749999999,4.51131284375,4.39658403125
squeeze,4,7,32,-0.29747040625,-1.111382125,4.50656125,4.78936853125
squeeze,4,8,32,-0.32113825,-0.12436084375,4.62122678125,3.9924617812500003
squeeze,4,9,32,-0.11758278125,-0.769661375,4.25828009375,5.64149928125
squeeze,5,0,32,-0.042195781249999995,-0.63851178125,4.32562346875,5.8811319375
squeeze,5,1,32,-0.084955875,-0.130024125,4.41978396875,3.7243475625
squeeze,5,2,32,-0.0012456250000000035,0.04032515625,4.2761926875,4.14033265625
squeeze,5,3,32,-0.0007690937500000002,0.023746812500000002,4.31053865625,3.5840759375
squeeze,5,4,32,-0.08708271875,-0.27338878125,4.4777708125,4.5313389375
squeeze,5,6,32,-0.08899009375,0.084548375,4.4801653125,4.3093979375
squeeze,5,7,32,0.053620812500000004,-0.8205291875,4.18518475,4.4485209375
squeeze,5,8,32,-0.02359565625,-0.010452281250000002,4.33153865625,3.7791231875
squeeze,5,9,32,0.120475625,-0.79713584375,4.0649825625,5.68139259375
squeeze,6,0,32,-0.002749624999999998,-0.73969646875,4.54516565625,6.0367323125
squeeze,6,1,32,0.02721746875,0.008047250000000002,4.31037765625,3.4859805625
squeeze,6,2,32,0.011898375,-0.004315437499999998,4.36199559375,4.21804290625
squeeze,6,3,32,0.09317365625,0.003658718749999999,4.36471109375,3.61851975
squeeze,6,4,32,0.0082814375,-0.29192287499999997,4.46864690625,4.51685896875
squeeze,6,5,32,0.07030234375,0.011167312500000002,4.30723809375,4.26251559375
squeeze,6,7,32,0.010280093749999998,-0.8715446875,4.36188590625,4.49039740625
squeeze,6,8,32,0.07080640625,-0.019511406250000002,4.3730655,3.78517353125
squeeze,6,9,32,0.0544303125,-0.9317075625,4.33482909375,5.884295125
squeeze,7,0,32,-0.7722981875,-0.54175078125,4.3924849375,5.7480340312500005
squeeze,7,1,32,-1.03410571875,-0.1496124375,4.67891709375,3.75083121875
squeeze,7,2,32,-0.9536675625,0.043778281249999995,4.6093024375,4.11917075
squeeze,7,3,32,-0.88214803125,-0.033089499999999994,4.5380738125,3.65077475
squeeze,7,4,32,-1.02322778125,-0.2838355,4.69648071875,4.57562840625
squeeze,7,5,32,-0.704565125,0.06992078125000001,4.29264765625,4.1553028124999996
squeeze,7,6,32,-0.955055375,0.047234593750000005,4.63371096875,4.2886403125
squeeze,7,8,32,-0.92206075,-0.068564625,4.5515881875,3.876661
squeeze,7,9,32,-0.75424746875,-0.7710493125,4.37868540625,5.66057759375
squeeze,8,0,32,0.11278696875000001,-0.59361028125,3.5373476249999998,5.88624896875
squeeze,8,1,32,-0.035320031249999995,-0.2175410625,3.82455925,3.8581494375
squeeze,8,2,32,-0.0279635,0.058913625000000004,3.79106809375,4.09077321875
squeeze,8,3,32,-0.07377065625,-0.044970718750000006,3.88724553125,3.71534078125
squeeze,8,4,32,-0.05900190625,-0.25970715625,3.91063803125,4.5069095625
squeeze,8,5,32,0.0027246250000000014,-0.07359903125,3.75203184375,4.47675315625
squeeze,8,6,32,0.000359031250000003,0.06088990625,3.75847809375,4.266696125
squeeze,8,7,32,-0.03095065625,-1.0306199375,3.816827,4.67652565625
squeeze,8,9,32,-0.023771937500000003,-0.8500011875,3.793070875,5.7517723125
squeeze,9,0,32,-1.03830196875,-0.72483315625,6.07495359375,6.1394549375
squeeze,9,1,32,-0.911855,0.07988528125000001,5.8962084375,3.37529421875
squeeze,9,2,32,-0.9588376875,-0.020531249999999997,5.97113359375,4.27438815625
squeeze,9,3,32,-1.05962409375,-0.07028028124999999,6.0923233125,3.7541254375
squeeze,9,4,32,-0.61034528125,-0.14113628125,5.41831103125,4.311716125
squeeze,9,5,32,-0.9666699375,0.053144093749999996,6.01889578125,4.13190440625
squeeze,9,6,32,-0.93289953125,0.05695175,5.9137223125,4.33213103125
squeeze,9,7,32,-0.86079575,-0.72041340625,5.79809946875,4.3101390625
squeeze,9,8,32,-0.84171090625,0.0509463125,5.7976839374999996,3.6365469375
